NB_NODES 		 400
NB_ARCS  		 159600
LIST_OF_ARCS 	 COSTS 
1 	 0 	 0 
0 	 1 	 5 
2 	 0 	 2 
0 	 2 	 67 
2 	 1 	 13 
1 	 2 	 75 
3 	 0 	 19 
0 	 3 	 43 
3 	 1 	 22 
1 	 3 	 48 
3 	 2 	 3 
2 	 3 	 15 
4 	 0 	 33 
0 	 4 	 27 
4 	 1 	 21 
1 	 4 	 23 
4 	 2 	 18 
2 	 4 	 6 
4 	 3 	 3 
3 	 4 	 54 
5 	 0 	 17 
0 	 5 	 49 
5 	 1 	 36 
1 	 5 	 44 
5 	 2 	 39 
2 	 5 	 21 
5 	 3 	 37 
3 	 5 	 23 
5 	 4 	 16 
4 	 5 	 61 
6 	 0 	 14 
0 	 6 	 9 
6 	 1 	 5 
1 	 6 	 38 
6 	 2 	 45 
2 	 6 	 63 
6 	 3 	 3 
3 	 6 	 5 
6 	 4 	 47 
4 	 6 	 93 
6 	 5 	 49 
5 	 6 	 86 
7 	 0 	 39 
0 	 7 	 2 
7 	 1 	 10 
1 	 7 	 58 
7 	 2 	 2 
2 	 7 	 7 
7 	 3 	 9 
3 	 7 	 49 
7 	 4 	 6 
4 	 7 	 83 
7 	 5 	 46 
5 	 7 	 20 
7 	 6 	 44 
6 	 7 	 33 
8 	 0 	 45 
0 	 8 	 18 
8 	 1 	 13 
1 	 8 	 48 
8 	 2 	 12 
2 	 8 	 3 
8 	 3 	 6 
3 	 8 	 55 
8 	 4 	 45 
4 	 8 	 96 
8 	 5 	 6 
5 	 8 	 73 
8 	 6 	 29 
6 	 8 	 59 
8 	 7 	 0 
7 	 8 	 7 
9 	 0 	 11 
0 	 9 	 31 
9 	 1 	 12 
1 	 9 	 72 
9 	 2 	 26 
2 	 9 	 40 
9 	 3 	 4 
3 	 9 	 16 
9 	 4 	 31 
4 	 9 	 0 
9 	 5 	 6 
5 	 9 	 51 
9 	 6 	 48 
6 	 9 	 3 
9 	 7 	 45 
7 	 9 	 81 
9 	 8 	 50 
8 	 9 	 10 
10 	 0 	 44 
0 	 10 	 45 
10 	 1 	 41 
1 	 10 	 10 
10 	 2 	 37 
2 	 10 	 77 
10 	 3 	 15 
3 	 10 	 73 
10 	 4 	 7 
4 	 10 	 32 
10 	 5 	 15 
